pid,year_t0,year_t1,telco_t0,telco_t1,churn_any,churn_to_mvno,a03002_tminus1,a03024_tminus1,a03026_tminus1,c01002_tminus1,c01004_tminus1,c02003_tminus1,c02001_tminus1,age1_tminus1,income1_tminus1,job1_tminus1
100050003,2020,2021,2.0,3.0,1,0,3.0,1.0,0.0,4.0,1.0,1.0,4.0,10,1,0
100050003,2021,2022,3.0,3.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,4.0,11,1,0
100050003,2022,2023,3.0,3.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,4.0,12,1,0
100050003,2023,2024,3.0,3.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,4.0,13,1,0
100060001,2020,2021,2.0,2.0,0,0,3.0,1.0,0.0,7.0,1.0,1.0,1.0,49,11,1
100060001,2021,2022,2.0,2.0,0,0,3.0,1.0,0.0,7.0,1.0,1.0,1.0,50,12,1
100060001,2022,2023,2.0,2.0,0,0,3.0,1.0,0.0,7.0,1.0,1.0,1.0,51,12,1
100060001,2023,2024,2.0,2.0,0,0,3.0,1.0,0.0,7.0,1.0,1.0,1.0,52,12,1
100060001,2024,2025,2.0,1.0,1,0,3.0,1.0,0.0,5.0,1.0,1.0,1.0,53,12,1
100060002,2020,2021,2.0,2.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,4.0,47,1,0
100060002,2021,2022,2.0,2.0,0,0,3.0,1.0,0.0,5.0,1.0,1.0,4.0,48,1,0
100060002,2022,2023,2.0,2.0,0,0,3.0,1.0,0.0,5.0,2.0,1.0,4.0,49,1,0
100060002,2023,2024,2.0,2.0,0,0,3.0,1.0,0.0,5.0,1.0,1.0,4.0,50,1,0
100060002,2024,2025,2.0,1.0,1,0,3.0,1.0,0.0,5.0,1.0,1.0,4.0,51,1,0
100060003,2020,2021,1.0,1.0,0,0,4.0,1.0,1.0,8.0,1.0,1.0,4.0,20,1,0
100060003,2021,2022,1.0,1.0,0,0,4.0,1.0,0.0,7.0,1.0,0.0,4.0,21,1,0
100060003,2022,2023,1.0,1.0,0,0,4.0,1.0,0.0,7.0,1.0,1.0,4.0,22,1,0
100060004,2020,2021,2.0,1.0,1,0,3.0,1.0,0.0,5.0,1.0,1.0,4.0,18,1,0
100060004,2021,2022,1.0,1.0,0,0,3.0,1.0,0.0,6.0,2.0,0.0,4.0,19,1,0
100070001,2020,2021,3.0,3.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,64,5,1
100070001,2021,2022,3.0,3.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,65,5,1
100070001,2022,2023,3.0,3.0,0,0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,66,6,1
100070001,2023,2024,3.0,3.0,0,0,3.0,1.0,0.0,5.0,1.0,1.0,1.0,67,6,1
